substance,name,form,aktiv_substans,size_unit,kategori,size,article_id,atc
Medel mot hosta och förkylning.,"Echinagard, Orala droppar, lösning",Flaska,"Echinacea purpurea (röd solhatt) ört, pressaft (1.7-2.5:1)",ml,"Förkylning, värk & feber",100,228015,R05
Medel mot hosta och förkylning,"Kan Jang, Dragerad tablett",Burk,"Echinacea purpurea (röd solhatt) rot, extrakt (3,5-7,5:1) et...,Eleutherococcus senticosus (rysk rot) rot, tjockt extrakt (1...,Justicia adhatoda (malabarnöt) blad, extrakt (3,5-5,0:1) vat...",st,"Förkylning, värk & feber",150,383964,R05
Antiseptika,"Halzin Mint, Sugtablett",Blister,"Amylmetakresol,Diklorobensylalkohol",st,"Förkylning, värk & feber",24,189568,R02AA03
Antiseptika,"Halzin Jordgubb, Sugtablett",Blister,"Amylmetakresol,Diklorobensylalkohol",st,"Förkylning, värk & feber",24,486692,R02AA03
Medel mot migrän,"Zomig Nasal, Nässpray, lösning 5 mg/dos",Endosbehållare,Zolmitriptan,ml,"Förkylning, värk & feber",0.2,105818,N02CC03
Medel mot migrän,"Zomig Nasal, Nässpray, lösning 5 mg/dos",Endosbehållare,Zolmitriptan,ml,"Förkylning, värk & feber",0.2,004437,N02CC03
Medel mot migrän,"Zomig Nasal, Nässpray, lösning 5 mg/dos",Endosbehållare,Zolmitriptan,ml,"Förkylning, värk & feber",0.6000000000000001,004724,N02CC03
Medel mot migrän,"Zomig Nasal, Nässpray, lösning 5 mg/dos",Endosbehållare,Zolmitriptan,ml,"Förkylning, värk & feber",1.8,008132,N02CC03
"Icke-steroida antiinflammatoriska/antireumatiska medel, NSAID, propionsyraderivat","Ibuprofen Orifarm, Filmdragerad tablett 200 mg",Blister,Ibuprofen,st,"Förkylning, värk & feber",30,061346,M01AE01
Hostdämpande medel,"Nipaxon, Tablett 50 mg",Blister,Noskapin,st,"Förkylning, värk & feber",15,092540,R05DA07
Hostdämpande medel,"Nipaxon, Tablett 50 mg",Blister,Noskapin,st,"Förkylning, värk & feber",30,537647,R05DA07
"Icke-steroida antiinflammatoriska/antireumatiska medel, NSAID, propionsyraderivat","Ibuprofen Orifarm, Filmdragerad tablett 400 mg",Blister,Ibuprofen,st,"Förkylning, värk & feber",10,061425,M01AE01
"Icke-steroida antiinflammatoriska/antireumatiska medel, NSAID, propionsyraderivat","Ibuprofen Orifarm, Filmdragerad tablett 400 mg",Blister,Ibuprofen,st,"Förkylning, värk & feber",30,061379,M01AE01
"Icke-steroida antiinflammatoriska/antireumatiska medel, NSAID, propionsyraderivat","Ibuprofen Orifarm, Filmdragerad tablett 400 mg",Burk,Ibuprofen,st,"Förkylning, värk & feber",100,061402,M01AE01
Inflammationshämmande medel för lokal rinitbehandling,"Flutide Nasal, Nässpray, suspension 50 mikrog/dos",Flaska,Flutikasonpropionat,st,Allergi,60,497310,R01AD08
Inflammationshämmande medel för lokal rinitbehandling,"Flutide Nasal, Nässpray, suspension 50 mikrog/dos",Flaska,Flutikasonpropionat,st,Allergi,120,178853,R01AD08
Inflammationshämmande medel för lokal rinitbehandling,"Flutide Nasal, Nässpray, suspension 50 mikrog/dos",Flaska,Flutikasonpropionat,st,Allergi,360,476271,R01AD08
Inflammationshämmande medel för lokal rinitbehandling,"Becotide Nasal, Nässpray, suspension 50 mikrog/dos",Plastfl. m. dos.pump,Beklometasondipropionat (anhydrat),st,Allergi,100,181438,R01AD01
Inflammationshämmande medel för lokal rinitbehandling,"Becotide Nasal, Nässpray, suspension 50 mikrog/dos",Plastfl. m. dos.pump,Beklometasondipropionat (anhydrat),st,Allergi,180,527317,R01AD01
Inflammationshämmande medel för lokal rinitbehandling,"Becotide Nasal, Nässpray, suspension 50 mikrog/dos",Plastfl. m. dos.pump,Beklometasondipropionat (anhydrat),st,Allergi,200,064964,R01AD01
Icke-steroid antiinflammatoriskt och antireumatiskt medel,"Glukosamin Pharma Nord, Kapsel, hård 400 mg",Burk,Glukosamin,st,"Förkylning, värk & feber",90,015037,M01AX05
Icke-steroid antiinflammatoriskt och antireumatiskt medel,"Glukosamin Pharma Nord, Kapsel, hård 400 mg",Burk,Glukosamin,st,"Förkylning, värk & feber",270,015301,M01AX05
Icke-steroid antiinflammatoriskt och antireumatiskt medel,"Glukosamin Pharma Nord, Kapsel, hård 400 mg",Burk,Glukosamin,st,"Förkylning, värk & feber",1000,015312,M01AX05
Icke-steroid antiinflammatoriskt och antireumatiskt medel,"Comfora, Filmdragerad tablett 595 mg",Burk,Glukosamin,st,"Förkylning, värk & feber",60,032014,M01AX05
Icke-steroid antiinflammatoriskt och antireumatiskt medel,"Comfora, Filmdragerad tablett 595 mg",Burk,Glukosamin,st,"Förkylning, värk & feber",180,032032,M01AX05
Icke-steroid antiinflammatoriskt och antireumatiskt medel,"Comfora, Filmdragerad tablett 595 mg",Burk,Glukosamin,st,"Förkylning, värk & feber",400,032041,M01AX05
Antiseptikum,"Strepsils Jordgubb, Sugtablett",Blister,"Amylmetakresol,Diklorobensylalkohol",st,"Förkylning, värk & feber",24,098549,R02AA03
Antiseptikum,"Strepsils Citron, Sugtablett",Blister,"Amylmetakresol,Diklorobensylalkohol",st,"Förkylning, värk & feber",24,595003,R02AA03
Antiseptika,"Strepsils Ingefära, Sugtablett",Blister,"Amylmetakresol,Diklorobensylalkohol",st,"Förkylning, värk & feber",24,419436,R02AA03
Antiseptika,"Strepsils Ingefära, Sugtablett",Blister,"Amylmetakresol,Diklorobensylalkohol",st,"Förkylning, värk & feber",36,099064,R02AA03
"Analgetikum, antipyretikum och antiflogistikum","Treo, Brustablett 500 mg/50 mg",Rör,"Acetylsalicylsyra,Koffein",st,"Förkylning, värk & feber",10,028810,N02BA51
"Analgetikum, antipyretikum och antiflogistikum","Treo, Brustablett 500 mg/50 mg",Rör,"Acetylsalicylsyra,Koffein",st,"Förkylning, värk & feber",20,461794,N02BA51
"Analgetikum, antipyretikum och antiflogistikum","Treo, Brustablett 500 mg/50 mg",Rör,"Acetylsalicylsyra,Koffein",st,"Förkylning, värk & feber",60,146194,N02BA51
Avsvällande nässpray,"Otrivin, Nässpray, lösning 1 mg/ml",Flaska,Xylometazolin,ml,"Förkylning, värk & feber",10,018176,R01AA07
Antiflogistikum med analgetisk och antipyretisk effekt,"Relifex, Filmdragerad tablett 500 mg",Blister,Nabumeton,st,"Förkylning, värk & feber",20,488049,M01AX01
Antiflogistikum med analgetisk och antipyretisk effekt,"Relifex, Filmdragerad tablett 500 mg",Blister,Nabumeton,st,"Förkylning, värk & feber",30,039570,M01AX01
Antiflogistikum med analgetisk och antipyretisk effekt,"Relifex, Filmdragerad tablett 500 mg",Burk,Nabumeton,st,"Förkylning, värk & feber",60,488056,M01AX01
Antiflogistikum med analgetisk och antipyretisk effekt,"Relifex, Filmdragerad tablett 500 mg",Blister,Nabumeton,st,"Förkylning, värk & feber",100,551606,M01AX01
Analgetikum och antipyretikum för barn,"Albyl minor, Tablett 250 mg",Burk,Acetylsalicylsyra,st,"Förkylning, värk & feber",50,479659,N02BA01
Smärtstillande och febernedsättande medel,"Pinex Jordgubb, Granulat i dospåse 250 mg",Dospåse,Paracetamol,st,"Förkylning, värk & feber",10,456353,N02BE01
"Medel vid sjukdomar i strupe och svalg, lokalanestetika","Mucoangin Mint, Sugtablett 20 mg",Blister,Ambroxol,st,"Förkylning, värk & feber",18,095575,R02AD
"Medel vid sjukdomar i strupe och svalg, lokalanestetika","Mucoangin Mint, Sugtablett 20 mg",Blister,Ambroxol,st,"Förkylning, värk & feber",20,013139,R02AD
"Medel vid sjukdomar i strupe och svalg, lokalanestetika","Mucoangin Mint, Sugtablett 20 mg",Blister,Ambroxol,st,"Förkylning, värk & feber",30,066123,R02AD
"Medel vid sjukdomar i strupe och svalg, lokalanestetika","Mucoangin Citron, Sugtablett 20 mg",Blister,Ambroxol,st,"Förkylning, värk & feber",18,503632,R02AD
,"Nyodex, Koncentrat till gurgelvatten 75 mg/ml",Flaska,"povidon, joderad",ml,"Förkylning, värk & feber",120,026159,R02AA15
Avsvällande nässpray,"Otrivin utan konserveringsmedel, Nässpray, lösning 1 mg/ml",Flaska,Xylometazolin,ml,"Förkylning, värk & feber",10,439794,R01AA07
Avsvällande nässpray utan konserveringsmedel,"Zymelin, Nässpray, lösning 0,5 mg/ml",Flaska,Xylometazolin,ml,"Förkylning, värk & feber",10,545133,R01AA07
Analgetikum,"Koffazon N, Tablett 400 mg/50 mg",Burk,"Fenazon,Koffein",st,"Förkylning, värk & feber",50,020706,N02BB51
Analgetikum,"Koffazon N, Tablett 400 mg/50 mg",Burk,"Fenazon,Koffein",st,"Förkylning, värk & feber",100,015105,N02BB51
"Analgetikum, antipyretikum","Panodil, Pulver till oral lösning i dospåse 500 mg",Dospåse,Paracetamol,st,"Förkylning, värk & feber",12,031301,N02BE01
"Analgetikum, antipyretikum och antiflogistikum","Aspirin, Tablett 500 mg",Blister,Acetylsalicylsyra,st,"Förkylning, värk & feber",20,196774,N02BA01
"Analgetikum, antipyretikum och antiflogistikum","Aspirin, Tablett 500 mg",Blister,Acetylsalicylsyra,st,"Förkylning, värk & feber",50,196766,N02BA01
"Sympatomimetika, kombinationer exklusive kortikosteroider.","Otrivin Comp, Nässpray, lösning 0,5 mg/ml + 0,6 mg/ml",Flaska,"Ipratropium,Xylometazolin",ml,"Förkylning, värk & feber",10,141153,R01AB06
Avföringsmedel,"Relaxit, Suppositorium",Blister,"Kalciumsilikat,Kaliumbitartrat,Lecitin,Natriumvätekarbonat",st,Mage & tarm,12,566786,A06AX02
Avföringsmedel,"Relaxit, Suppositorium",Blister,"Kalciumsilikat,Kaliumbitartrat,Lecitin,Natriumvätekarbonat",st,Mage & tarm,20,566794,A06AX02
Protonpumpshämmare,"Omestad, Enterokapsel, hård 20 mg",Blister,Omeprazol,st,Mage & tarm,30,093516,A02BC01
Protonpumpshämmare,"Omestad, Enterokapsel, hård 20 mg",Burk,Omeprazol,st,Mage & tarm,30,394021,A02BC01
Protonpumpshämmare,"Omestad, Enterokapsel, hård 20 mg",Blister,Omeprazol,st,Mage & tarm,56,398672,A02BC01
Protonpumpshämmare,"Omestad, Enterokapsel, hård 20 mg",Burk,Omeprazol,st,Mage & tarm,56,111365,A02BC01
Protonpumpshämmare,"Omestad, Enterokapsel, hård 20 mg",Blister,Omeprazol,st,Mage & tarm,100,424497,A02BC01
Protonpumpshämmare,"Omestad, Enterokapsel, hård 20 mg",Burk,Omeprazol,st,Mage & tarm,100,429482,A02BC01
Protonpumpshämmare,"Omecat, Enterokapsel, hård 20 mg",Burk,Omeprazol,st,Mage & tarm,28,192066,A02BC01
Protonpumpshämmare,"Omecat, Enterokapsel, hård 20 mg",Burk,Omeprazol,st,Mage & tarm,32,572938,A02BC01
Protonpumpshämmare,"Omecat, Enterokapsel, hård 20 mg",Burk,Omeprazol,st,Mage & tarm,100,560971,A02BC01
Protonpumpshämmare,"Omecat, Enterokapsel, hård 20 mg",Burk,Omeprazol,st,Mage & tarm,104,564553,A02BC01
Protonpumpshämmare,"Omecat, Enterokapsel, hård 20 mg",Blister,Omeprazol,st,Mage & tarm,56,412847,A02BC01
Protonpumpshämmare,"Omecat, Enterokapsel, hård 20 mg",Burk,Omeprazol,st,Mage & tarm,104,562416,A02BC01
Protonpumpshämmare,"Nixacid, Enterokapsel, hård 30 mg",Blister,Lansoprazol,st,Mage & tarm,14,126762,A02BC03
Protonpumpshämmare,"Omecat, Enterokapsel, hård 20 mg",Burk,Omeprazol,st,Mage & tarm,105,102629,A02BC01
Protonpumpshämmare,"Omecat, Enterokapsel, hård 20 mg",Burk,Omeprazol,st,Mage & tarm,500,185411,A02BC01
Tarmreglerande medel,"Laxogol, Pulver till oral lösning i dospåse",Dospåse,"Kaliumklorid,Makrogol,Natriumklorid,Natriumvätekarbonat",st,Mage & tarm,10,451698,A06AD65
Tarmreglerande medel,"Laxogol, Pulver till oral lösning i dospåse",Dospåse,"Kaliumklorid,Makrogol,Natriumklorid,Natriumvätekarbonat",st,Mage & tarm,20,510189,A06AD65
Tarmreglerande medel,"Laxogol, Pulver till oral lösning i dospåse",Dospåse,"Kaliumklorid,Makrogol,Natriumklorid,Natriumvätekarbonat",st,Mage & tarm,50,493548,A06AD65
Tarmreglerande medel,"Laxogol, Pulver till oral lösning i dospåse",Dospåse,"Kaliumklorid,Makrogol,Natriumklorid,Natriumvätekarbonat",st,Mage & tarm,100,127104,A06AD65
Adsorberande medel. Kol.,"Carbomix, Granulat till oral suspension",Flaska,"Kol, aktivt",g,Mage & tarm,25,397323,A07BA01
Adsorberande medel. Kol.,"Carbomix, Granulat till oral suspension",Flaska,"Kol, aktivt",g,Mage & tarm,50,397331,A07BA01
Medel vid magsår och gastroesofageal refluxsjukdom,"Ranitidin Apofri, Filmdragerad tablett 150 mg",Blister,Ranitidin,st,Mage & tarm,10,573117,A02BA02
Medel vid magsår och gastroesofageal refluxsjukdom,"Ranitidin Apofri, Filmdragerad tablett 150 mg",Blister,Ranitidin,st,Mage & tarm,30,541831,A02BA02
Propulsionsdämpande medel,"Imodium, Munsönderfallande tablett 2 mg",Blister,Loperamid,st,Mage & tarm,12,086494,A07DA03
"Läkemedel för syrarelaterade sjukdomar, protonpumpshämmare","Esomeprazol Apofri, Enterokapsel, hård 20 mg",Blister,Esomeprazol,st,Mage & tarm,14,169648,A02BC05
"Läkemedel för syrarelaterade sjukdomar, protonpumpshämmare","Esomeprazol Apofri, Enterokapsel, hård 20 mg",Blister,Esomeprazol,st,Mage & tarm,28,480965,A02BC05
Syrahämmande medel - H2-antagonist,"Pepcid, Tablett 10 mg",Blister,Famotidin,st,Mage & tarm,6,044388,A02BA03
Syrahämmande medel - H2-antagonist,"Pepcid, Tablett 10 mg",Blister,Famotidin,st,Mage & tarm,12,044461,A02BA03
Syrahämmande medel - H2-antagonist,"Pepcid, Tablett 10 mg",Blister,Famotidin,st,Mage & tarm,24,401554,A02BA03
Propulsionsdämpande antidiarroika,"Imodium Plus, Tablett 2 mg/125 mg",Blister,"Dimetikon (Simetikon),Loperamid",st,Mage & tarm,6,057379,A07DA53
Propulsionsdämpande antidiarroika,"Imodium Plus, Tablett 2 mg/125 mg",Blister,"Dimetikon (Simetikon),Loperamid",st,Mage & tarm,12,583813,A07DA53
Adsorberande medel. Kol.,"Carbo medicinalis, Tablett 250 mg",Burk,"Kol, aktivt",st,Mage & tarm,75,010868,A07BA01
Syrahämmande medel - H2-antagonist,"Rani-Q, Filmdragerad tablett 150 mg",Blister,Ranitidin,st,Mage & tarm,10,004617,A02BA02
Syrahämmande medel - H2-antagonist,"Rani-Q, Filmdragerad tablett 150 mg",Blister,Ranitidin,st,Mage & tarm,20,004649,A02BA02
Syrahämmande medel - H2-antagonist,"Rani-Q, Filmdragerad tablett 150 mg",Blister,Ranitidin,st,Mage & tarm,30,004654,A02BA02
Antiinflammatoriskt medel med smärtstillande och febernedsättande verkan,"Ibuprofen Apofri, Oral suspension 20 mg/ml",Flaska,Ibuprofen,ml,Barn & baby,100,060795,M01AE01
"Medel mot hosta och förkylning, Övriga kombinationsmedel","Sinupret, Dragerad tablett",Blister,"Gentiana lutea (gullgentiana) torkad rot; pulver,Primula veris (gullviva) blomma, pulver ,Rumex spp. (R. acetosa, R. acetosella, R. crispus, R. obtusi...,Sambucus nigra (fläder), blomma, pulver,Verbena officinalis (järnört), ört, pulver",st,Barn & baby,50,055637,R05X
Antacida,"Novaluzid, Tuggtablett",Blister,"Aluminiumhydroxid-magnesiumkarbonat,Magnesiumhydroxid",st,Mage & tarm,30,113621,A02AD01
Antacida,"Novaluzid, Tuggtablett",Blister,"Aluminiumhydroxid-magnesiumkarbonat,Magnesiumhydroxid",st,Mage & tarm,100,113639,A02AD01
Kontaktlaxativ,"Toilax, Enterotablett och rektalsuspension 5 mg + 10 mg/5 ml",Blister och tub,Bisakodyl,st,Mage & tarm,1,032151,A06AG02
Kontaktlaxativ,"Toilax, Enterotablett och rektalsuspension 5 mg + 10 mg/5 ml",Blister och tub,Bisakodyl,st,Mage & tarm,50,032581,A06AG02
Kontaktlaxativ,"Toilax, Enterotablett och rektalsuspension 5 mg + 10 mg/5 ml",Blister och tub,Bisakodyl,st,Mage & tarm,250,406157,A06AG02
Syrabindande medel,"Rennie, Tuggtablett 680 mg/80 mg",Blister,"Kalciumkarbonat,Magnesiumkarbonat",st,Mage & tarm,24,538181,A02AD01
Syrabindande medel,"Rennie, Tuggtablett 680 mg/80 mg",Blister,"Kalciumkarbonat,Magnesiumkarbonat",st,Mage & tarm,48,538199,A02AD01
Syrabindande medel,"Rennie, Tuggtablett 680 mg/80 mg",Blister,"Kalciumkarbonat,Magnesiumkarbonat",st,Mage & tarm,96,538207,A02AD01
Syrahämmande medel - protonpumpshämmare,"Losec, Enterotablett 20 mg",Blister,Omeprazol,st,Mage & tarm,100,083840,A02BC01
Syrahämmande medel - protonpumpshämmare,"Losec, Enterotablett 20 mg",Blister,Omeprazol,st,Mage & tarm,7,000153,A02BC01
Syrahämmande medel - protonpumpshämmare,"Losec, Enterotablett 20 mg",Blister,Omeprazol,st,Mage & tarm,14,492546,A02BC01
Syrahämmande medel - protonpumpshämmare,"Losec, Enterotablett 20 mg",Burk,Omeprazol,st,Mage & tarm,14,043364,A02BC01
Syrahämmande medel - protonpumpshämmare,"Losec, Enterotablett 20 mg",Blister,Omeprazol,st,Mage & tarm,28,031861,A02BC01
Syrahämmande medel - protonpumpshämmare,"Losec, Enterotablett 20 mg",Burk,Omeprazol,st,Mage & tarm,28,043372,A02BC01
Syrahämmande medel - protonpumpshämmare,"Losec, Enterotablett 20 mg",Burk,Omeprazol,st,Mage & tarm,100,492637,A02BC01
Syrahämmande medel - protonpumpshämmare,"Losec, Enterotablett 20 mg",Burk,Omeprazol,st,Mage & tarm,56,043513,A02BC01
Syrahämmande medel - protonpumpshämmare,"Losec, Enterotablett 20 mg",Blister,Omeprazol,st,Mage & tarm,98,Product or such package is not available,A02BC01
Syrahämmande medel - protonpumpshämmare,"Losec, Enterotablett 20 mg",Burk,Omeprazol,st,Mage & tarm,200,068106,A02BC01
Sockerfritt bulkmedel,"Lunelax, Pulver till oral suspension, dospåse",Dospåse,Ispaghulaskal,st,Mage & tarm,20,143214,A06AC01
Sockerfritt bulkmedel,"Lunelax, Pulver till oral suspension, dospåse",Dospåse,Ispaghulaskal,st,Mage & tarm,50,143222,A06AC01
Sockerfritt bulkmedel,"Lunelax, Pulver till oral suspension, dospåse",Dospåse,Ispaghulaskal,st,Mage & tarm,100,143388,A06AC01
Medel vid gastroesofageal refluxsjukdom,"Gaviscon, Tuggtablett",Blister,"Alginsyra,Aluminiumhydroxid,Natriumvätekarbonat",st,Mage & tarm,2,390332,A02BX13
Medel vid gastroesofageal refluxsjukdom,"Gaviscon, Tuggtablett",Blister,"Alginsyra,Aluminiumhydroxid,Natriumvätekarbonat",st,Mage & tarm,20,098467,A02BX13
Medel vid gastroesofageal refluxsjukdom,"Gaviscon, Tuggtablett",Blister,"Alginsyra,Aluminiumhydroxid,Natriumvätekarbonat",st,Mage & tarm,120,098574,A02BX13
Snabbverkande mikrolavemang,"Resulax, Rektallösning 8,5 g",Tub,Sorbitol,st,"Förkylning, värk & feber",4,457820,A06AG07
Snabbverkande mikrolavemang,"Resulax, Rektallösning 8,5 g",Tub,Sorbitol,st,"Förkylning, värk & feber",50,434845,A06AG07
"Antiinflammatoriska medel, icke-steroider för utvärtes bruk.","Voltaren, Medicinskt plåster 140 mg",Påse,Diklofenak,st,"Förkylning, värk & feber",2,073798,M02AA15
Kontaktlaxativ,"Laxoberal, Orala droppar, lösning 7,5 mg/ml",Flaska,Natriumpikosulfatmonohydrat,ml,Mage & tarm,30,592931,A06AB08
Medel vid nikotinberoende,"NiQuitin Mint, Sugtablett 4 mg",Blister,Nikotin,st,Motion & hälsa,12,007761,N07BA01
Medel vid nikotinberoende,"NiQuitin Mint, Sugtablett 4 mg",Burk,Nikotin,st,Motion & hälsa,24,046005,N07BA01
Medel vid nikotinberoende,"NiQuitin Mint, Sugtablett 4 mg",Burk,Nikotin,st,Motion & hälsa,72,046032,N07BA01
Medel vid nikotinberoende,"NiQuitin Mint, Sugtablett 4 mg",Blister,Nikotin,st,Motion & hälsa,36,007860,N07BA01
Medel vid nikotinberoende,"NiQuitin Mint, Sugtablett 4 mg",Blister,Nikotin,st,Motion & hälsa,72,007871,N07BA01
Antiflogistikum med analgetisk och antipyretisk effekt,"Diklofenak T Orifarm, Filmdragerad tablett 25 mg",Blister,Diklofenak,st,"Förkylning, värk & feber",10,126414,M01AB05
Antiflogistikum med analgetisk och antipyretisk effekt,"Diklofenak T Orifarm, Filmdragerad tablett 25 mg",Blister,Diklofenak,st,"Förkylning, värk & feber",20,138565,M01AB05
Antiflogistikum med analgetisk och antipyretisk effekt,"Diklofenak T Orifarm, Filmdragerad tablett 25 mg",Blister,Diklofenak,st,"Förkylning, värk & feber",100,539832,M01AB05
"Avsvällande och övriga medel för lokal behandling vid nässjukdomar, kortikosteroider.","Flutikason Teva, Nässpray, suspension 50 mikrog/dos",Flaska,Flutikasonpropionat,st,Allergi,60,076214,R01AD08
"Avsvällande och övriga medel för lokal behandling vid nässjukdomar, kortikosteroider.","Flutikason Teva, Nässpray, suspension 50 mikrog/dos",Flaska,Flutikasonpropionat,st,Allergi,120,025277,R01AD08
"Avsvällande och övriga medel för lokal behandling vid nässjukdomar, kortikosteroider.","Flutikason Teva, Nässpray, suspension 50 mikrog/dos",Flaska,Flutikasonpropionat,st,Allergi,360,025293,R01AD08
"Icke-steroida antiinflammatoriska/antireumatiska medel, NSAID","Voltaren T, Kapsel, mjuk 25 mg",Blister,Diklofenak,st,"Förkylning, värk & feber",20,100865,M01AB05
Antihistamin för systemisk användning,"Cetirizin Apofri, Filmdragerad tablett 10 mg",Blister,Cetirizin,st,Allergi,2,457993,R06AE07
Antihistamin för systemisk användning,"Cetirizin Apofri, Filmdragerad tablett 10 mg",Blister,Cetirizin,st,Allergi,10,487395,R06AE07
Antihistamin för systemisk användning,"Cetirizin Apofri, Filmdragerad tablett 10 mg",Blister,Cetirizin,st,Allergi,30,050557,R06AE07
Antihistamin för systemiskt bruk. Piperazinderivat.,"Acura, Komprimerad sugtablett 10 mg",Blister,Cetirizin,st,Allergi,7,133463,R06AE07
Antihistamin för systemiskt bruk. Piperazinderivat.,"Acura, Komprimerad sugtablett 10 mg",Blister,Cetirizin,st,Allergi,21,133474,R06AE07
Avsvällande medel och antiallergika,"Allgil, Ögondroppar, lösning 20 mg/ml",Flaska,Kromoglicinsyra,ml,Allergi,10,546039,S01GX01
Smärtstillande och febernedsättande medel,"Paracetamol Apofri, Oral lösning 24 mg/ml",Flaska,Paracetamol,ml,Barn & baby,100,165264,N02BE01
"Analgetikum, antipyretikum","Alvedon, Suppositorium 125 mg",Strip,Paracetamol,st,Barn & baby,10,156547,N02BE01
Expektorerande medel,"Bromhexin Apofri, Oral lösning 0,8 mg/ml",Flaska,Bromhexin,ml,Barn & baby,125,166671,R05CB02
Expektorerande medel,"Bromhexin Apofri, Oral lösning 0,8 mg/ml",Flaska,Bromhexin,ml,Barn & baby,200,121555,R05CB02
Expektorerande medel,"Bromhexin Apofri, Oral lösning 0,8 mg/ml",Flaska,Bromhexin,ml,Barn & baby,250,429781,R05CB02
Selektiv H1-antagonist för lokal behandling av allergisk konjunktivit,"Livostin, Ögondroppar, suspension 0,5 mg/ml",Flaska,Levokabastin,ml,Allergi,4,431154,S01GX02
Selektiv H1-antagonist för lokal behandling av allergisk konjunktivit,"Livostin, Ögondroppar, suspension 0,5 mg/ml",Flaska,Levokabastin,ml,Allergi,12,443646,S01GX02
Inflammationshämmande medel vid allergisk konjunktivit,"Lomudal, Ögondroppar, lösning i endosbehållare 40 mg/ml",Endosbehållare,Kromoglicinsyra,st,Allergi,20,014720,S01GX01
Inflammationshämmande medel vid allergisk konjunktivit,"Lomudal, Ögondroppar, lösning i endosbehållare 40 mg/ml",Endosbehållare,Kromoglicinsyra,st,Allergi,60,018434,S01GX01
Selektiv H1-antagonist för lokal behandling av allergisk rinit,"Livostin, Nässpray, suspension 50 mikrog/dos",Flaska,Levokabastin,st,Allergi,150,567545,R01AC02
Selektiv H1-antagonist för lokal behandling av allergisk rinit,"Livostin, Nässpray, suspension 50 mikrog/dos",Flaska,Levokabastin,st,Allergi,300,580373,R01AC02
Hostdämpande medel,"Nipaxon, Oral suspension 5 mg/ml",Flaska,Noskapin,ml,Barn & baby,100,068080,R05DA07
Hostdämpande medel,"Nipaxon, Oral suspension 5 mg/ml",Flaska,Noskapin,ml,Barn & baby,250,068098,R05DA07
Expektorerande medel,"Bromhexin Apofri, Oral lösning 1,6 mg/ml",Flaska,Bromhexin,ml,Barn & baby,200,544389,R05CB02
Expektorerande medel,"Bromhexin Apofri, Oral lösning 1,6 mg/ml",Flaska,Bromhexin,ml,Barn & baby,250,465521,R05CB02
Hostdämpande medel,"Nipaxon, Oral suspension 2,5 mg/ml",Flaska,Noskapin,ml,Barn & baby,100,196402,R05DA07
Hostdämpande medel,"Nipaxon, Oral suspension 2,5 mg/ml",Flaska,Noskapin,ml,Barn & baby,250,537621,R05DA07
Keratolytikum.,"Salsyvase, Salva 1 %",Tub,Salicylsyra,ml,Barn & baby,100,522227,D02AF
Övriga medel vid magsår och gastroesofageal refluxsjukdom,"Galieve Peppermint, Tuggtablett",Blister,"Alginsyra,Kalciumkarbonat,Natriumvätekarbonat",st,Mage & tarm,24,086163,A02BX13
Övriga medel vid magsår och gastroesofageal refluxsjukdom,"Galieve Peppermint, Tuggtablett",Blister,"Alginsyra,Kalciumkarbonat,Natriumvätekarbonat",st,Mage & tarm,48,083322,A02BX13
Antidiarroikum,"Imodium, Tablett 2 mg",Blister,Loperamid,st,Mage & tarm,100,161141,A07DA03
Antidiarroikum,"Imodium, Tablett 2 mg",Blister,Loperamid,st,Mage & tarm,16,114072,A07DA03
Antidiarroikum,"Imodium, Tablett 2 mg",Blister,Loperamid,st,Mage & tarm,40,195354,A07DA03
Antidiarroikum,"Imodium, Tablett 2 mg",Blister,Loperamid,st,Mage & tarm,100,193242,A07DA03
Medel vid ökad gasansamling i mag-tarmkanalen,"Dimetikon Meda, Kapsel, mjuk 100 mg",Burk,Dimetikon (Simetikon),st,Mage & tarm,25,164541,A03AX13
Medel vid ökad gasansamling i mag-tarmkanalen,"Dimetikon Meda, Kapsel, mjuk 100 mg",Burk,Dimetikon (Simetikon),st,Mage & tarm,50,018952,A03AX13
Medel vid ökad gasansamling i mag-tarmkanalen,"Dimetikon Meda, Kapsel, mjuk 100 mg",Burk,Dimetikon (Simetikon),st,Mage & tarm,100,164897,A03AX13
Medel vid ökad gasansamling i mag-tarmkanalen,"Dimetikon Meda, Kapsel, mjuk 100 mg",Burk,Dimetikon (Simetikon),st,Mage & tarm,250,164905,A03AX13
Syrahämmande medel - H2-antagonist,"Inside Brus, Brustablett 150 mg",Rör,Ranitidin,st,Mage & tarm,10,194777,A02BA02
Syrahämmande medel - H2-antagonist,"Inside Brus, Brustablett 150 mg",Rör,Ranitidin,st,Mage & tarm,20,424558,A02BA02
Syrahämmande medel - H2-antagonist,"Inside Brus, Brustablett 150 mg",Rör,Ranitidin,st,Mage & tarm,30,011182,A02BA02
Syrahämmande medel - H2-antagonist,"Inside Brus, Brustablett 150 mg",Rör,Ranitidin,st,Mage & tarm,30,379787,A02BA02
Syrahämmande medel - H2-antagonist,"Inside Brus, Brustablett 150 mg",Rör,Ranitidin,st,Mage & tarm,60,591867,A02BA02
Syrahämmande medel - H2-antagonist,"Inside Brus, Brustablett 150 mg",Rör,Ranitidin,st,Mage & tarm,90,591933,A02BA02
